datetime,open,high,low,close,volume
2023-03-30,15750,15862,15741,15825,215022
2023-03-31,15833,15966,15820,15863,217977
2023-04-06,15850,15928,15701,15766,195957
2023-04-07,15781,15870,15750,15812,175034
2023-04-10,15812,15926,15806,15844,131357
2023-04-11,15843,15962,15732,15931,222237
2023-04-12,15931,15966,15866,15928,154232
2023-04-13,15912,16003,15808,15817,260020
2023-04-14,15830,15994,15782,15947,229110
2023-04-17,15946,15973,15875,15970,193688
2023-04-18,15972,15980,15862,15896,173493
2023-04-19,15891,15942,15750,15761,147695
2023-04-20,15775,15797,15682,15762,253035
2023-04-21,15760,15794,15602,15616,280432
2023-04-24,15611,15655,15543,15621,206746
2023-04-25,15628,15670,15369,15385,241879
2023-04-26,15391,15410,15287,15376,224626
2023-04-27,15376,15460,15305,15427,216642
2023-04-28,15442,15596,15420,15574,224326
2023-05-02,15568,15672,15531,15636,151969
2023-05-03,15651,15655,15504,15560,111553
2023-05-04,15555,15619,15488,15606,118999
2023-05-05,15615,15696,15527,15652,120791
2023-05-08,15648,15779,15628,15723,108837
2023-05-09,15725,15749,15652,15715,98811
2023-05-10,15724,15731,15577,15613,112366
2023-05-11,15586,15683,15501,15511,148052
2023-05-12,15508,15559,15406,15506,136937
2023-05-15,15503,15545,15416,15530,115198
2023-05-16,15536,15723,15505,15708,109842
2023-05-17,15698,15973,15685,15865,102150
2023-05-18,15876,16085,15862,16079,129221
2023-05-19,16067,16161,16065,16118,124416
2023-05-22,16124,16158,16080,16119,86210
2023-05-23,16110,16195,16072,16128,102785
2023-05-24,16122,16131,16005,16047,111298
2023-05-25,16058,16232,15950,16213,145773
2023-05-26,16224,16457,16196,16449,146153
2023-05-29,16456,16650,16442,16570,127712
2023-05-30,16576,16642,16515,16629,89627
2023-05-31,16592,16724,16455,16476,170598
2023-06-01,16491,16541,16395,16473,125037
2023-06-02,16473,16744,16453,16732,130925
